Jurisdiction Name,Site Address/Intersection,5 Digit ZIP Code,Assessor Parcel Number,Consolidated Sites,General Plan Designation (Current),Zoning Designation (Current),Minimum Density Allowed (units/acre),Max Density Allowed (units/acre),Parcel Size (Acres),Existing Use/Vacancy,Infrastructure,Publicly-Owned,Site Status,Identified in Last/Last Two Planning Cycle(s),Lower Income Capacity,Moderate Income Capacity,Above Moderate Income Capacity,Total Capacity,Optional Information 1,Optional Information 2,Optional Information 3
MOUNTAIN VIEW,595 W EL CAMINO REAL,94040-2641,19303044,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.40,one-story paint store  - FAR: 0.26,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,15,0,15,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,215 W EL CAMINO REAL,94040-2605,19304006,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.39,one-story tire store  - FAR: 0.077; Year Built: 1959,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,14,0,14,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,239 W EL CAMINO REAL,94040-2605,19304018,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.28,one story liquor store  - FAR: 0.183; Year Built: 1971,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,10,0,10,Opportunity Site (No rezoning),Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,2630 W EL CAMINO REAL,94040-1117,14816012,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.79,one-story pharmacy - FAR: 0.307; Year Built: 1972,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,108,0,0,108,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,2600 W EL CAMINO REAL,94040-1117,14816015,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.50,one-story bank  - FAR: 0.19; Year Built: 1972,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,30,0,30,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,630 SAN ANTONIO RD,94040,14816016,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,2.82,one-story grocery store (closing) - FAR: 0.292; Year Built: 1972,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,150,20,0,170,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,2464 W EL CAMINO REAL,94040-1421,14828005,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.61,"one-story six-unit retail (beauty, wellness, acupucture, restaurant)  - FAR: 0.167; Year Built: 1984",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,37,0,37,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,1952 W EL CAMINO REAL ,94040-2002,15436014,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.03,one-story party supply store  - FAR: 0.444; Year Built: 1959,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,61,0,0,61,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,1910 W EL CAMINO REAL,94040-2002,15436018,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,2.47,"one-story six-unit retail (furniture, restaurants, fitness) - FAR: 0.318; Year Built: 1984",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,149,0,0,149,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,30 W EL CAMINO REAL,94040,15801001,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.36,one-story tire store - FAR: 0.315; Year Built: 1965,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,21,0,21,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,40 W EL CAMINO REAL,94040,15801002,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.20,one-story tire store - FAR: 0.204; Year Built: 1965,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,12,0,12,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,62 W EL CAMINO REAL,94040,15801003,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.55,one-story truck rental  - FAR: 0.035; Year Built: 1979,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,93,0,0,93,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,1901 W EL CAMINO REAL,94040-2216,17006006,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.27,one-story rental car location  - FAR: 0.11; Year Built: 1958,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,16,0,16,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,910 EL MONTE AV,94040-2319,17006007,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.10,one-story office supply store  - FAR: 0.424; Year Built: 1952,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,66,0,0,66,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,1949 W EL CAMINO REAL,94040-2216,17006058,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.32,"one-story multi-tenant retail (pet store, pool store, auto parts, shipping); Year Built: 1984",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,19,0,19,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,1921 W EL CAMINO REAL,94040-2216,17006060,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.30,"one-story multi-tenant retail (pet store, pool store, auto parts, shipping)  - FAR: 0.276; Year Built: 1975",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,78,0,0,78,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,1935 W EL CAMINO REAL,94040-2216,17006062,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.66,"one-story multi-tenant retail (pet store, pool store, auto parts, shipping)  - FAR: 0.51; Year Built: 1975",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,99,0,0,99,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,975 BAY ST,94040-2626,19314001,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.39,self car wash - FAR: 0.095; Year Built: 1965,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,23,0,23,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,101 E EL CAMINO REAL,94040-2701,19742003,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.58,gas station  - FAR: 0.063,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,35,0,35,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,121 E EL CAMINO REAL,94040-2701,19742004,,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,7.96,large multi-tenant shopping center with one-story buildings (pharmacy and various other retail uses) - FAR: 0.257; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,150,150,181,481,Opportunity Site - El Camino Real Village Center ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoning under review, not necessary to meet RHNA.  Will be rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac."
MOUNTAIN VIEW,789 E EL CAMINO REAL,94040-2833,19801003,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,4.59,electronics store with several other retail tenants - FAR: 0.275; Year Built: 1971,Yes - current,No - Privately-Owned,Available,Used in Prior Housing Element - Non-Vacant - treat like new (rezoned since last cycle),150,127,0,277,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,825 E EL CAMINO REAL,94040-2807,19807003,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.29,one story restaurant - FAR: 0.095; Year Built: 1968,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,17,0,17,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,831 E EL CAMINO REAL,94040-2807,19807004,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.16,one-story used goods retail - FAR: 0.231; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,70,0,0,70,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,891 E EL CAMINO REAL,94040-2807,19807008,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.40,one-story rental car location  - FAR: 0.059; Year Built: 1963,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,24,0,24,Opportunity Site (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,1255 Pear Ave (Affordable Housing Dedication),94043,11614094,,North Bayshore Mixed-Use,P(39) - North Bayshore Precise Plan,0,~157,1.90,Vacant,Yes - current,Yes - City-Owned,Pending Project,Not Used in Prior Housing Element,112,0,0,112,Pending Project (No rezoning),Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on a proportional increase or decrease of similar district’s precedent. projects.,
MOUNTAIN VIEW,1332 Park Dr,94040-2416,18932028,,Medium High-Density Residential,R3-1,0,35,0.32,Single Family Detached,Yes - current,No - Privately-Owned,Pending Project,Not Used in Prior Housing Element,0,0,2,2,Pending Project (No rezoning),,
MOUNTAIN VIEW,1991 W El Camino Real,94040,17005051,,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.76,Restaurant,Yes - current,No - Privately-Owned,Pending Project,Not Used in Prior Housing Element,5,1,48,54,Pending Project (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,334 San Antonio Rd,94040-1214,14815020,,Mixed-Use Corridor,P(40) - San Antonio Precise Plan,0,63-89,0.66,Gas Station,Yes - current,No - Privately-Owned,Pending Project,Used in Prior Housing Element - Non-Vacant,10,3,49,62,Pending Project (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,
MOUNTAIN VIEW,355-401 E Middlefield Rd,94043,16052013,A,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,147-169,2.00,Research and Development,Yes - current,No - Privately-Owned,Pending Project,Not Used in Prior Housing Element,92,58,466,616,Pending Project (No rezoning),Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on the range of precedent projects.,Project spans multiple parcels.  All proposed units in the project are shown at APN 16052013 for this consolidated sites grouping.
MOUNTAIN VIEW,355-401 E Middlefield Rd,94043,16052021,A,East Whisman Mixed-Use,P(41) - East Whisman Precise Plan,0,147-169,4.00,Research and Development,Yes - current,No - Privately-Owned,Pending Project,Not Used in Prior Housing Element,0,0,0,0,Pending Project (No rezoning),Maximum Density set by FAR (3.5). Maximum dwelling units per acre shown is based on the range of precedent projects.,Project spans multiple parcels.  All proposed units in the project are shown at APN 16052013 for this consolidated sites grouping.
MOUNTAIN VIEW,615-749 W El Camino Real ,94040-2507,19302049,B,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.93,"Retail, including Banks and Personal Services",Yes - current,No - Privately-Owned,Pending Project,Used in Prior Housing Element - Non-Vacant,0,0,0,0,Pending Project (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,Project spans multiple parcels.  All proposed units in the project are shown at APN 19302050 for this consolidated sites grouping.
MOUNTAIN VIEW,615-749 W El Camino Real ,94040-2507,19302050,B,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.16,Fast Food,Yes - current,No - Privately-Owned,Pending Project,Used in Prior Housing Element - Non-Vacant,33,,266,299,Pending Project (No rezoning),Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,Project spans multiple parcels.  All proposed units in the project are shown at APN 19302050 for this consolidated sites grouping.
